day,month,year,prayer_id,"time","country_id","city_id",source_id,"updated"
1,6,2015,5,"19:09:00","SG","Singapore",1,"2014-12-28 05:50:42"
1,6,2015,6,"20:23:00","SG","Singapore",1,"2014-12-28 05:50:42"
1,6,2016,1,"05:34:00","SG","Singapore",1,"2015-12-31 04:01:35"
1,6,2016,2,"06:58:00","SG","Singapore",1,"2015-12-31 04:01:35"
1,6,2016,3,"13:04:00","SG","Singapore",1,"2015-12-31 04:01:36"
1,6,2016,4,"16:29:00","SG","Singapore",1,"2015-12-31 04:01:36"
1,6,2016,5,"19:09:00","SG","Singapore",1,"2015-12-31 04:01:36"
1,6,2016,6,"20:23:00","SG","Singapore",1,"2015-12-31 04:01:36"
1,7,2011,1,"05:39:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,7,2011,2,"07:03:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,7,2011,3,"13:10:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,7,2011,4,"16:35:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,7,2011,5,"19:15:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,7,2011,6,"20:30:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,7,2012,1,"05:39:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,7,2012,2,"07:03:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,7,2012,3,"13:10:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,7,2012,4,"16:35:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,7,2012,5,"19:15:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,7,2012,6,"20:30:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,7,2013,1,"05:39:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,7,2013,2,"07:03:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,7,2013,3,"13:10:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,7,2013,4,"16:35:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,7,2013,5,"19:15:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,7,2013,6,"20:30:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,7,2014,1,"05:40:00","SG","Singapore",1,"2013-12-16 15:28:57"
1,7,2014,2,"07:03:00","SG","Singapore",1,"2013-12-16 15:28:57"
1,7,2014,3,"13:10:00","SG","Singapore",1,"2013-12-16 15:28:57"
1,7,2014,4,"16:35:00","SG","Singapore",1,"2013-12-16 15:28:57"
1,7,2014,5,"19:16:00","SG","Singapore",1,"2013-12-16 15:28:57"
1,7,2014,6,"20:30:00","SG","Singapore",1,"2013-12-16 15:28:57"
1,7,2015,1,"05:40:00","SG","Singapore",1,"2014-12-28 05:50:44"
1,7,2015,2,"07:03:00","SG","Singapore",1,"2014-12-28 05:50:44"
1,7,2015,3,"13:10:00","SG","Singapore",1,"2014-12-28 05:50:44"
1,7,2015,4,"16:35:00","SG","Singapore",1,"2014-12-28 05:50:44"
1,7,2015,5,"19:16:00","SG","Singapore",1,"2014-12-28 05:50:44"
1,7,2015,6,"20:30:00","SG","Singapore",1,"2014-12-28 05:50:44"
1,7,2016,1,"05:40:00","SG","Singapore",1,"2015-12-31 04:01:51"
1,7,2016,2,"07:04:00","SG","Singapore",1,"2015-12-31 04:01:51"
1,7,2016,3,"13:10:00","SG","Singapore",1,"2015-12-31 04:01:51"
1,7,2016,4,"16:35:00","SG","Singapore",1,"2015-12-31 04:01:51"
1,7,2016,5,"19:15:00","SG","Singapore",1,"2015-12-31 04:01:51"
1,7,2016,6,"20:30:00","SG","Singapore",1,"2015-12-31 04:01:51"
1,8,2011,1,"05:45:00","SG","Singapore",1,"2013-01-15 07:38:35"
