day,month,year,"country_id",hijrah_day,hijrah_month,hijrah_year
5,9,2012,"SG",18,10,1433
5,9,2013,"SG",29,10,1434
5,9,2014,"SG",10,11,1435
5,9,2015,"SG",21,11,1436
5,9,2016,"SG",3,12,1438
5,9,2017,"SG",14,12,1438
5,10,2012,"SG",18,11,1433
5,10,2013,"SG",29,11,1434
5,10,2014,"SG",10,12,1435
5,10,2015,"SG",21,12,1436
5,10,2016,"SG",4,1,1439
5,10,2017,"SG",14,1,1439
5,11,2012,"SG",20,12,1433
5,11,2013,"SG",1,1,1435
5,11,2014,"SG",12,1,1436
5,11,2015,"SG",23,1,1437
5,11,2016,"SG",5,2,1439
5,11,2017,"SG",16,2,1439
5,12,2012,"SG",21,1,1434
5,12,2013,"SG",2,2,1435
5,12,2014,"SG",12,2,1436
5,12,2015,"SG",23,2,1437
5,12,2016,"SG",5,3,1439
5,12,2017,"SG",16,3,1439
5,13,2012,"SG",21,1,1434
6,1,2012,"SG",12,2,1433
6,1,2013,"SG",22,2,1434
6,1,2014,"SG",4,3,1435
6,1,2015,"SG",15,3,1436
6,1,2016,"SG",25,3,1438
6,1,2017,"SG",7,4,1438
6,2,2012,"SG",13,3,1433
6,2,2013,"SG",24,3,1434
6,2,2014,"SG",5,4,1435
6,2,2015,"SG",16,4,1436
6,2,2016,"SG",27,4,1438
6,2,2017,"SG",9,5,1438
6,3,2012,"SG",13,4,1433
6,3,2013,"SG",23,4,1434
6,3,2014,"SG",4,5,1435
6,3,2015,"SG",15,5,1436
6,3,2016,"SG",26,5,1438
6,3,2017,"SG",7,6,1438
6,4,2012,"SG",14,5,1433
6,4,2013,"SG",25,5,1434
6,4,2014,"SG",5,6,1435
6,4,2015,"SG",16,6,1436
6,4,2016,"SG",28,6,1438
6,4,2017,"SG",9,7,1438
6,5,2012,"SG",14,6,1433
6,5,2013,"SG",25,6,1434
6,5,2014,"SG",5,7,1435
6,5,2015,"SG",17,7,1436
6,5,2016,"SG",28,7,1438
6,5,2017,"SG",9,8,1438
6,6,2012,"SG",16,7,1433
6,6,2013,"SG",27,7,1434
6,6,2014,"SG",7,8,1435
6,6,2015,"SG",19,8,1436
6,6,2016,"SG",1,9,1438
6,6,2017,"SG",11,9,1438
6,7,2012,"SG",16,8,1433
6,7,2013,"SG",27,8,1434
6,7,2014,"SG",8,9,1435
